brand;article;photo_url
555;SET021R;https://imgs.rossko.ru/76/20/NSIN0017894300/1.jpg
555;SET051;https://imgs.rossko.ru/15/6A/NSIN0019621475/1.jpg
555;SET121L;https://imgs.rossko.ru/33/75/NSIN0019522762/1.jpg
555;SET121R;https://imgs.rossko.ru/D7/FA/NSIN0018126705/1.jpg
555;SET181L;https://imgs.rossko.ru/29/B7/NSIN0019717558/1.jpg
555;SET181R;https://imgs.rossko.ru/CC/5F/NSIN0019717559/1.jpg
555;SET201L;https://imgs.rossko.ru/BB/94/NSIN0018144555/1.jpg
555;SET201R;https://imgs.rossko.ru/67/25/NSIN0019523887/1.jpg
555;SET221L;https://imgs.rossko.ru/D3/9E/NSIN0018144556/1.jpg
555;SET221R;https://imgs.rossko.ru/5B/C7/NSIN0018425337/1.jpg
555;SET401;https://imgs.rossko.ru/92/77/NSIN0019746833/1.jpg
555;SET441R;https://imgs.rossko.ru/62/64/NSIN0019746835/1.jpg
555;SET491L;https://imgs.rossko.ru/8A/DF/NSIN0020861053/1.jpg
555;SET531R;https://imgs.rossko.ru/70/12/NSIN0020889938/1.jpg
555;SI2791;https://imgs.rossko.ru/C8/D3/NSIN0018672487/1.jpg
555;SI2810;https://imgs.rossko.ru/34/00/NSIN0013720558/1.jpg
555;SI4680;https://imgs.rossko.ru/64/13/NSIN0013720566/1.jpg
555;SI7720;https://imgs.rossko.ru/36/CE/NSIN0013720573/1.jpg
555;SI7805;https://imgs.rossko.ru/6B/B3/NSIN0013720575/1.jpg
555;SL1610L;https://imgs.rossko.ru/64/13/NSIN0013720576/1.jpg
555;SL1610R;https://imgs.rossko.ru/C1/6C/NSIN0013720577/1.jpg
555;SL1615;https://imgs.rossko.ru/34/00/NSIN0013720578/1.jpg
555;SL1615M;https://imgs.rossko.ru/E5/14/NSII0007173972/1.jpg
555;SL1760M;https://imgs.rossko.ru/D3/C3/NSIN0020870133/1.jpg
555;SL1800;https://imgs.rossko.ru/D0/39/NSIN0020889944/1.jpg
555;SL1860;https://imgs.rossko.ru/A7/7A/NSIN0023162594/1.jpg
555;SL2805M;https://imgs.rossko.ru/8D/CF/NSII0007383541/1.jpg
555;SL2900L;https://imgs.rossko.ru/1E/C4/NSIN0013720590/1.jpg
555;SL2935;https://imgs.rossko.ru/D9/75/NSIN0013720592/1.jpg
555;SL2990L;https://imgs.rossko.ru/6B/B3/NSIN0013720595/1.jpg
555;SL2990LM;https://imgs.rossko.ru/61/78/NSII0012419340/1.jpg
